symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2020-01-02,1367.37,1368.14,1341.55,1341.55,1406731,1367.37,1368.14,1341.55,1341.55,1406731,0.0,1.0
GOOG,2020-01-03,1360.66,1372.5,1345.54,1347.86,1187006,1360.66,1372.5,1345.54,1347.86,1187006,0.0,1.0
GOOG,2020-01-06,1394.21,1396.5,1350.0,1350.0,1733149,1394.21,1396.5,1350.0,1350.0,1733149,0.0,1.0
GOOG,2020-01-07,1393.34,1402.99,1390.38,1397.94,1511693,1393.34,1402.99,1390.38,1397.94,1511693,0.0,1.0
GOOG,2020-01-08,1404.32,1411.58,1390.84,1392.08,1529177,1404.32,1411.58,1390.84,1392.08,1529177,0.0,1.0
GOOG,2020-01-09,1419.83,1427.33,1410.27,1420.57,1502664,1419.83,1427.33,1410.27,1420.57,1502664,0.0,1.0
GOOG,2020-01-10,1429.73,1434.93,1418.35,1427.56,1821566,1429.73,1434.93,1418.35,1427.56,1821566,0.0,1.0
GOOG,2020-01-13,1439.23,1440.52,1426.02,1436.13,1378286,1439.23,1440.52,1426.02,1436.13,1378286,0.0,1.0
GOOG,2020-01-14,1430.88,1441.8,1428.37,1439.01,1560453,1430.88,1441.8,1428.37,1439.01,1560453,0.0,1.0
GOOG,2020-01-15,1439.2,1441.39,1430.21,1430.21,1282685,1439.2,1441.39,1430.21,1430.21,1282685,0.0,1.0
GOOG,2020-01-16,1451.7,1451.99,1440.92,1447.44,1173688,1451.7,1451.99,1440.92,1447.44,1173688,0.0,1.0
GOOG,2020-01-17,1480.39,1481.3,1458.22,1462.91,2396215,1480.39,1481.3,1458.22,1462.91,2396215,0.0,1.0
GOOG,2020-01-21,1484.4,1491.85,1471.2,1479.12,2008830,1484.4,1491.85,1471.2,1479.12,2008830,0.0,1.0
GOOG,2020-01-22,1485.95,1503.21,1484.93,1491.0,1610846,1485.95,1503.21,1484.93,1491.0,1610846,0.0,1.0
GOOG,2020-01-23,1486.65,1495.52,1482.1,1487.64,1351354,1486.65,1495.52,1482.1,1487.64,1351354,0.0,1.0
GOOG,2020-01-24,1466.71,1495.49,1465.25,1493.59,1784644,1466.71,1495.49,1465.25,1493.59,1784644,0.0,1.0
GOOG,2020-01-27,1433.9,1438.07,1421.2,1431.0,1755201,1433.9,1438.07,1421.2,1431.0,1755201,0.0,1.0
GOOG,2020-01-28,1452.56,1456.0,1432.47,1443.0,1577422,1452.56,1456.0,1432.47,1443.0,1577422,0.0,1.0
GOOG,2020-01-29,1458.63,1465.43,1446.74,1458.8,1078667,1458.63,1465.43,1446.74,1458.8,1078667,0.0,1.0
GOOG,2020-01-30,1455.84,1457.28,1436.4,1439.96,1339421,1455.84,1457.28,1436.4,1439.96,1339421,0.0,1.0
GOOG,2020-01-31,1434.23,1470.13,1428.53,1468.9,2417214,1434.23,1470.13,1428.53,1468.9,2417214,0.0,1.0
GOOG,2020-02-03,1485.94,1490.0,1458.99,1462.0,3055216,1485.94,1490.0,1458.99,1462.0,3055216,0.0,1.0
GOOG,2020-02-04,1447.07,1469.5,1426.3,1457.07,3932954,1447.07,1469.5,1426.3,1457.07,3932954,0.0,1.0
GOOG,2020-02-05,1448.23,1463.84,1430.56,1462.42,1986157,1448.23,1463.84,1430.56,1462.42,1986157,0.0,1.0
GOOG,2020-02-06,1476.23,1482.0,1449.57,1450.33,1679384,1476.23,1482.0,1449.57,1450.33,1679384,0.0,1.0
GOOG,2020-02-07,1479.23,1485.84,1466.35,1467.3,1172270,1479.23,1485.84,1466.35,1467.3,1172270,0.0,1.0
GOOG,2020-02-10,1508.68,1509.5,1474.32,1474.32,1419876,1508.68,1509.5,1474.32,1474.32,1419876,0.0,1.0
GOOG,2020-02-11,1508.79,1529.63,1505.64,1511.81,1344633,1508.79,1529.63,1505.64,1511.81,1344633,0.0,1.0
GOOG,2020-02-12,1518.27,1520.69,1508.11,1514.48,1167565,1518.27,1520.69,1508.11,1514.48,1167565,0.0,1.0
GOOG,2020-02-13,1514.66,1527.18,1504.6,1512.69,929730,1514.66,1527.18,1504.6,1512.69,929730,0.0,1.0
GOOG,2020-02-14,1520.74,1520.74,1507.34,1515.6,1197836,1520.74,1520.74,1507.34,1515.6,1197836,0.0,1.0
GOOG,2020-02-18,1519.67,1531.63,1512.59,1515.0,1121140,1519.67,1531.63,1512.59,1515.0,1121140,0.0,1.0
GOOG,2020-02-19,1526.69,1532.11,1521.4,1525.07,949268,1526.69,1532.11,1521.4,1525.07,949268,0.0,1.0
GOOG,2020-02-20,1518.15,1529.64,1506.82,1522.0,1096552,1518.15,1529.64,1506.82,1522.0,1096552,0.0,1.0
GOOG,2020-02-21,1485.11,1512.21,1480.44,1508.03,1732273,1485.11,1512.21,1480.44,1508.03,1732273,0.0,1.0
GOOG,2020-02-24,1421.59,1436.97,1411.39,1426.11,2867053,1421.59,1436.97,1411.39,1426.11,2867053,0.0,1.0
GOOG,2020-02-25,1388.45,1438.14,1382.4,1433.0,2478278,1388.45,1438.14,1382.4,1433.0,2478278,0.0,1.0
GOOG,2020-02-26,1393.18,1415.7,1379.0,1396.14,2204037,1393.18,1415.7,1379.0,1396.14,2204037,0.0,1.0
GOOG,2020-02-27,1318.09,1371.7,1317.17,1362.06,2978300,1318.09,1371.7,1317.17,1362.06,2978300,0.0,1.0
GOOG,2020-02-28,1339.33,1341.14,1271.0,1277.5,3790618,1339.33,1341.14,1271.0,1277.5,3790618,0.0,1.0
GOOG,2020-03-02,1389.11,1390.87,1326.82,1351.61,2431468,1389.11,1390.87,1326.82,1351.61,2431468,0.0,1.0
GOOG,2020-03-03,1341.39,1410.15,1332.0,1399.42,2402326,1341.39,1410.15,1332.0,1399.42,2402326,0.0,1.0
GOOG,2020-03-04,1386.52,1388.09,1343.11,1359.23,1913315,1386.52,1388.09,1343.11,1359.23,1913315,0.0,1.0
GOOG,2020-03-05,1319.04,1358.91,1305.1,1350.2,2561288,1319.04,1358.91,1305.1,1350.2,2561288,0.0,1.0
GOOG,2020-03-06,1298.41,1306.22,1261.05,1277.06,2660628,1298.41,1306.22,1261.05,1277.06,2660628,0.0,1.0
GOOG,2020-03-09,1215.56,1254.76,1200.0,1205.3,3365365,1215.56,1254.76,1200.0,1205.3,3365365,0.0,1.0
GOOG,2020-03-10,1280.39,1281.15,1218.77,1260.0,2611373,1280.39,1281.15,1218.77,1260.0,2611373,0.0,1.0
GOOG,2020-03-11,1215.41,1260.96,1196.07,1249.7,2611229,1215.41,1260.96,1196.07,1249.7,2611229,0.0,1.0
GOOG,2020-03-12,1114.91,1193.87,1113.3,1126.0,4226748,1114.91,1193.87,1113.3,1126.0,4226748,0.0,1.0
GOOG,2020-03-13,1219.73,1219.76,1117.14,1179.0,3700125,1219.73,1219.76,1117.14,1179.0,3700125,0.0,1.0
GOOG,2020-03-16,1084.33,1152.27,1074.44,1096.0,4252365,1084.33,1152.27,1074.44,1096.0,4252365,0.0,1.0
GOOG,2020-03-17,1119.8,1130.86,1056.01,1093.11,3861489,1119.8,1130.86,1056.01,1093.11,3861489,0.0,1.0
GOOG,2020-03-18,1096.8,1106.5,1037.28,1056.51,4233435,1096.8,1106.5,1037.28,1056.51,4233435,0.0,1.0
GOOG,2020-03-19,1115.29,1157.97,1060.11,1093.05,3651106,1115.29,1157.97,1060.11,1093.05,3651106,0.0,1.0
GOOG,2020-03-20,1072.32,1143.99,1065.49,1135.72,3601750,1072.32,1143.99,1065.49,1135.72,3601750,0.0,1.0
GOOG,2020-03-23,1056.62,1071.32,1013.54,1061.32,4044137,1056.62,1071.32,1013.54,1061.32,4044137,0.0,1.0
GOOG,2020-03-24,1134.46,1135.0,1090.62,1103.77,3344450,1134.46,1135.0,1090.62,1103.77,3344450,0.0,1.0
GOOG,2020-03-25,1102.49,1148.9,1086.01,1126.47,4081528,1102.49,1148.9,1086.01,1126.47,4081528,0.0,1.0
GOOG,2020-03-26,1161.75,1169.97,1093.53,1111.8,3573755,1161.75,1169.97,1093.53,1111.8,3573755,0.0,1.0
GOOG,2020-03-27,1110.71,1150.67,1105.91,1125.67,3208495,1110.71,1150.67,1105.91,1125.67,3208495,0.0,1.0
GOOG,2020-03-30,1146.82,1151.63,1096.48,1125.04,2574061,1146.82,1151.63,1096.48,1125.04,2574061,0.0,1.0
GOOG,2020-03-31,1162.81,1175.31,1138.14,1147.3,2487983,1162.81,1175.31,1138.14,1147.3,2487983,0.0,1.0
GOOG,2020-04-01,1105.62,1129.69,1097.45,1122.0,2344173,1105.62,1129.69,1097.45,1122.0,2344173,0.0,1.0
GOOG,2020-04-02,1120.84,1126.86,1096.4,1098.26,1964881,1120.84,1126.86,1096.4,1098.26,1964881,0.0,1.0
GOOG,2020-04-03,1097.88,1123.54,1079.81,1119.02,2313400,1097.88,1123.54,1079.81,1119.02,2313400,0.0,1.0
GOOG,2020-04-06,1186.92,1194.66,1130.94,1138.0,2664723,1186.92,1194.66,1130.94,1138.0,2664723,0.0,1.0
GOOG,2020-04-07,1186.51,1225.0,1182.23,1221.0,2387329,1186.51,1225.0,1182.23,1221.0,2387329,0.0,1.0
GOOG,2020-04-08,1210.28,1219.07,1188.16,1206.5,1975135,1210.28,1219.07,1188.16,1206.5,1975135,0.0,1.0
